idx,gcp_service_id,gcp_service,gcp_total_cost,month,service_id,service,metamist_total_cost,diff
BigQuery|202109|24E6-581D-38E5,24E6-581D-38E5,BigQuery,0.0,202109,24E6-581D-38E5,BigQuery,0.0,0.0
BigQuery|202109|seqr,0,0,0.0,202109,seqr,BigQuery,0.0,0.0
BigQuery|202110|24E6-581D-38E5,24E6-581D-38E5,BigQuery,1.1105720000000008,202110,24E6-581D-38E5,BigQuery,1.1105720000000006,-2.220446049250313e-16
BigQuery|202111|24E6-581D-38E5,24E6-581D-38E5,BigQuery,12.41851600000001,202111,24E6-581D-38E5,BigQuery,12.418516,-8.881784197001252e-15
BigQuery|202112|24E6-581D-38E5,24E6-581D-38E5,BigQuery,7.174216000000001,202112,24E6-581D-38E5,BigQuery,7.174215999999998,-3.552713678800501e-15
Cloud Build Credit|202109|seqr,0,0,0.0,202109,seqr,Cloud Build Credit,0.0,0.0
Cloud Build|202107|8B5D-EF7D-EB12,8B5D-EF7D-EB12,Cloud Build,0.0,202107,8B5D-EF7D-EB12,Cloud Build,0.0,0.0
Cloud Build|202108|8B5D-EF7D-EB12,8B5D-EF7D-EB12,Cloud Build,0.0,202108,8B5D-EF7D-EB12,Cloud Build,0.0,0.0
Cloud Build|202109|8B5D-EF7D-EB12,8B5D-EF7D-EB12,Cloud Build,1.480881,202109,8B5D-EF7D-EB12,Cloud Build,1.480881,0.0
Cloud Build|202109|seqr,0,0,0.0,202109,seqr,Cloud Build,0.0,0.0
Cloud Build|202110|8B5D-EF7D-EB12,8B5D-EF7D-EB12,Cloud Build,0.0,202110,8B5D-EF7D-EB12,Cloud Build,0.0,0.0
Cloud Build|202111|8B5D-EF7D-EB12,8B5D-EF7D-EB12,Cloud Build,0.0,202111,8B5D-EF7D-EB12,Cloud Build,0.0,0.0
Cloud Build|202112|8B5D-EF7D-EB12,8B5D-EF7D-EB12,Cloud Build,0.0,202112,8B5D-EF7D-EB12,Cloud Build,0.0,0.0
Cloud DNS|202107|FA26-5236-B8B5,FA26-5236-B8B5,Cloud DNS,0.2652850000000001,202107,FA26-5236-B8B5,Cloud DNS,0.2652850000000001,0.0
Cloud DNS|202108|FA26-5236-B8B5,FA26-5236-B8B5,Cloud DNS,0.273029,202108,FA26-5236-B8B5,Cloud DNS,0.2730290000000001,5.551115123125783e-17
Cloud DNS|202109|FA26-5236-B8B5,FA26-5236-B8B5,Cloud DNS,0.27515599999999996,202109,FA26-5236-B8B5,Cloud DNS,0.27515600000000007,1.1102230246251565e-16
Cloud DNS|202110|FA26-5236-B8B5,FA26-5236-B8B5,Cloud DNS,0.2786719999999998,202110,FA26-5236-B8B5,Cloud DNS,0.27867199999999986,5.551115123125783e-17
Cloud DNS|202111|FA26-5236-B8B5,FA26-5236-B8B5,Cloud DNS,0.2879069999999999,202111,FA26-5236-B8B5,Cloud DNS,0.28790700000000014,2.220446049250313e-16
Cloud DNS|202112|FA26-5236-B8B5,FA26-5236-B8B5,Cloud DNS,0.2986239999999998,202112,FA26-5236-B8B5,Cloud DNS,0.29862399999999995,1.6653345369377348e-16
Cloud Functions|202107|29E7-DA93-CA13,29E7-DA93-CA13,Cloud Functions,1.597534000000001,202107,29E7-DA93-CA13,Cloud Functions,1.597534,-8.881784197001252e-16
Cloud Functions|202108|29E7-DA93-CA13,29E7-DA93-CA13,Cloud Functions,0.05167499999999998,202108,29E7-DA93-CA13,Cloud Functions,0.051675,2.0816681711721685e-17
Cloud Functions|202109|29E7-DA93-CA13,29E7-DA93-CA13,Cloud Functions,0.052317999999999976,202109,29E7-DA93-CA13,Cloud Functions,0.052317999999999996,2.0816681711721685e-17
Cloud Functions|202110|29E7-DA93-CA13,29E7-DA93-CA13,Cloud Functions,0.06044099999999999,202110,29E7-DA93-CA13,Cloud Functions,0.06044099999999999,0.0
Cloud Functions|202111|29E7-DA93-CA13,29E7-DA93-CA13,Cloud Functions,0.052930000000000005,202111,29E7-DA93-CA13,Cloud Functions,0.052930000000000005,0.0
Cloud Functions|202112|29E7-DA93-CA13,29E7-DA93-CA13,Cloud Functions,0.05330700000000001,202112,29E7-DA93-CA13,Cloud Functions,0.05330699999999999,-1.3877787807814457e-17
Cloud Key Management Service (KMS)|202108|EE2F-D110-890C,EE2F-D110-890C,Cloud Key Management Service (KMS),0.056544000000000004,202108,EE2F-D110-890C,Cloud Key Management Service (KMS),0.05654399999999999,-1.3877787807814457e-17
Cloud Key Management Service (KMS)|202109|EE2F-D110-890C,EE2F-D110-890C,Cloud Key Management Service (KMS),0.08093999999999998,202109,EE2F-D110-890C,Cloud Key Management Service (KMS),0.08094000000000001,2.7755575615628914e-17
Cloud Key Management Service (KMS)|202110|EE2F-D110-890C,EE2F-D110-890C,Cloud Key Management Service (KMS),0.07992,202110,EE2F-D110-890C,Cloud Key Management Service (KMS),0.07992,0.0
Cloud Key Management Service (KMS)|202111|EE2F-D110-890C,EE2F-D110-890C,Cloud Key Management Service (KMS),0.14202800000000002,202111,EE2F-D110-890C,Cloud Key Management Service (KMS),0.142028,-2.7755575615628914e-17
Cloud Key Management Service (KMS)|202112|EE2F-D110-890C,EE2F-D110-890C,Cloud Key Management Service (KMS),0.16066600000000003,202112,EE2F-D110-890C,Cloud Key Management Service (KMS),0.16066600000000006,2.7755575615628914e-17
Cloud Logging Credit|202108|seqr,0,0,0.0,202108,seqr,Cloud Logging Credit,0.0,0.0
Cloud Logging Credit|202109|seqr,0,0,0.0,202109,seqr,Cloud Logging Credit,0.0,0.0
Cloud Logging Credit|202110|seqr,0,0,0.0,202110,seqr,Cloud Logging Credit,0.0,0.0
Cloud Logging Credit|202111|seqr,0,0,0.0,202111,seqr,Cloud Logging Credit,0.0,0.0
Cloud Logging Credit|202112|seqr,0,0,0.0,202112,seqr,Cloud Logging Credit,0.0,0.0
Cloud Logging|202107|5490-F7B7-8DF6,5490-F7B7-8DF6,Cloud Logging,88.256163,202107,5490-F7B7-8DF6,Cloud Logging,88.25616299999997,-2.842170943040401e-14
Cloud Logging|202108|5490-F7B7-8DF6,5490-F7B7-8DF6,Cloud Logging,236.03600999999998,202108,5490-F7B7-8DF6,Cloud Logging,236.03601,2.842170943040401e-14
Cloud Logging|202108|seqr,0,0,0.0,202108,seqr,Cloud Logging,0.0,0.0
Cloud Logging|202109|5490-F7B7-8DF6,5490-F7B7-8DF6,Cloud Logging,277.57416000000006,202109,5490-F7B7-8DF6,Cloud Logging,277.57416000000006,0.0
Cloud Logging|202109|seqr,0,0,0.0,202109,seqr,Cloud Logging,0.0,0.0
Cloud Logging|202110|5490-F7B7-8DF6,5490-F7B7-8DF6,Cloud Logging,208.91377400000002,202110,5490-F7B7-8DF6,Cloud Logging,208.91377399999996,-5.684341886080802e-14
Cloud Logging|202110|seqr,0,0,0.0,202110,seqr,Cloud Logging,0.0,0.0
Cloud Logging|202111|5490-F7B7-8DF6,5490-F7B7-8DF6,Cloud Logging,43.95706600000001,202111,5490-F7B7-8DF6,Cloud Logging,43.95706599999999,-2.1316282072803006e-14
Cloud Logging|202111|seqr,0,0,0.0,202111,seqr,Cloud Logging,0.0,0.0
Cloud Logging|202112|5490-F7B7-8DF6,5490-F7B7-8DF6,Cloud Logging,1151.0229329999997,202112,5490-F7B7-8DF6,Cloud Logging,1151.0229329999993,-4.547473508864641e-13
Cloud Logging|202112|seqr,0,0,0.0,202112,seqr,Cloud Logging,0.0,0.0
Cloud Memorystore for Redis Credit|202108|seqr,0,0,0.0,202108,seqr,Cloud Memorystore for Redis Credit,-1.157308,-1.157308
Cloud Memorystore for Redis Credit|202109|seqr,0,0,0.0,202109,seqr,Cloud Memorystore for Redis Credit,-64.171015,-64.171015
Cloud Memorystore for Redis Credit|202110|seqr,0,0,0.0,202110,seqr,Cloud Memorystore for Redis Credit,-66.69969,-66.69969
Cloud Memorystore for Redis Credit|202111|seqr,0,0,0.0,202111,seqr,Cloud Memorystore for Redis Credit,-62.37721600000001,-62.37721600000001
Cloud Memorystore for Redis Credit|202112|seqr,0,0,0.0,202112,seqr,Cloud Memorystore for Redis Credit,-65.56004600000001,-65.56004600000001
Cloud Memorystore for Redis|202107|5AF5-2C11-D467,5AF5-2C11-D467,Cloud Memorystore for Redis,63.735088000000005,202107,5AF5-2C11-D467,Cloud Memorystore for Redis,59.95906799999999,-3.776020000000017
Cloud Memorystore for Redis|202108|5AF5-2C11-D467,5AF5-2C11-D467,Cloud Memorystore for Redis,65.009741,202108,5AF5-2C11-D467,Cloud Memorystore for Redis,63.85243300000002,-1.1573079999999862
Cloud Memorystore for Redis|202108|seqr,0,0,0.0,202108,seqr,Cloud Memorystore for Redis,2.314616000000001,2.314616000000001
Cloud Memorystore for Redis|202109|5AF5-2C11-D467,5AF5-2C11-D467,Cloud Memorystore for Redis,64.171015,0,0,0,0.0,-64.171015
Cloud Memorystore for Redis|202109|seqr,0,0,0.0,202109,seqr,Cloud Memorystore for Redis,128.34203,128.34203
Cloud Memorystore for Redis|202110|5AF5-2C11-D467,5AF5-2C11-D467,Cloud Memorystore for Redis,66.69968999999999,0,0,0,0.0,-66.69968999999999
Cloud Memorystore for Redis|202110|seqr,0,0,0.0,202110,seqr,Cloud Memorystore for Redis,133.39938000000004,133.39938000000004
Cloud Memorystore for Redis|202111|5AF5-2C11-D467,5AF5-2C11-D467,Cloud Memorystore for Redis,62.377216,0,0,0,0.0,-62.377216
Cloud Memorystore for Redis|202111|seqr,0,0,0.0,202111,seqr,Cloud Memorystore for Redis,124.75443199999998,124.75443199999998
Cloud Memorystore for Redis|202112|5AF5-2C11-D467,5AF5-2C11-D467,Cloud Memorystore for Redis,65.56004599999999,0,0,0,0.0,-65.56004599999999
Cloud Memorystore for Redis|202112|seqr,0,0,0.0,202112,seqr,Cloud Memorystore for Redis,131.120092,131.120092
Cloud Pub/Sub|202107|A1E8-BE35-7EBC,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0005620000000000001,202107,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0005620000000000002,1.0842021724855044e-19
Cloud Pub/Sub|202108|A1E8-BE35-7EBC,A1E8-BE35-7EBC,Cloud Pub/Sub,0.000987,202108,A1E8-BE35-7EBC,Cloud Pub/Sub,0.000987,0.0
Cloud Pub/Sub|202109|A1E8-BE35-7EBC,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0008330000000000002,202109,A1E8-BE35-7EBC,Cloud Pub/Sub,0.000833,-2.168404344971009e-19
Cloud Pub/Sub|202110|A1E8-BE35-7EBC,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0015209999999999996,202110,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0015209999999999996,0.0
Cloud Pub/Sub|202111|A1E8-BE35-7EBC,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0018699999999999993,202111,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0018699999999999993,0.0
Cloud Pub/Sub|202112|A1E8-BE35-7EBC,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0025349999999999995,202112,A1E8-BE35-7EBC,Cloud Pub/Sub,0.0025349999999999986,-8.673617379884035e-19
Cloud Run Credit|202109|seqr,0,0,0.0,202109,seqr,Cloud Run Credit,-0.19578700000000002,-0.19578700000000002
Cloud Run Credit|202110|seqr,0,0,0.0,202110,seqr,Cloud Run Credit,-0.21311600000000003,-0.21311600000000003
Cloud Run Credit|202111|seqr,0,0,0.0,202111,seqr,Cloud Run Credit,-0.037975999999999996,-0.037975999999999996
Cloud Run Credit|202112|seqr,0,0,0.0,202112,seqr,Cloud Run Credit,-0.037473,-0.037473
Cloud Run|202107|152E-C115-5142,152E-C115-5142,Cloud Run,2.091854000000002,202107,152E-C115-5142,Cloud Run,2.0918540000000014,-4.440892098500626e-16
